section,cluster_name,count,proportion
A 21st Century Curriculum,Duke / University / Kunshan,1,1.0
A Liberal Arts College Experience,Duke / University / Kunshan,1,1.0
Academic Advising,Duke / University / Kunshan,2,0.4
Academic Advising,Students / Course / Skills,3,0.6
Academic Integrity,Duke / University / Kunshan,2,0.3333
Academic Integrity,Molecular / Systems / Chemistry,1,0.1667
Academic Integrity,Student / Term / Students,3,0.5
Academic Recognition and Honors,Credit / Courses / Placement,5,0.8333
Academic Recognition and Honors,Duke / University / Kunshan,1,0.1667
Academic Resource Center,Students / Course / Skills,4,1.0
"Academic Warning, Probation, and Suspension for Students in the Class of 2025 and Beyond",Credit / Courses / Placement,3,0.3
"Academic Warning, Probation, and Suspension for Students in the Class of 2025 and Beyond",Student / Term / Students,7,0.7
"Academic Warning, Probation, and Suspension for Students in the Classes of 2022-2024",Credit / Courses / Placement,2,0.1538
"Academic Warning, Probation, and Suspension for Students in the Classes of 2022-2024",Student / Term / Students,11,0.8462
Accommodations,Student / Term / Students,3,1.0
Animating Principles,Course / Media / Cultural,2,0.5
Animating Principles,Duke / University / Kunshan,1,0.25
Animating Principles,Students / Course / Skills,1,0.25
Application Requirements,Chinese / China / Course,1,0.1429
Application Requirements,Credit / Courses / Placement,4,0.5714
Application Requirements,Duke / University / Kunshan,1,0.1429
Application Requirements,Student / Term / Students,1,0.1429
Application Timelines,Duke / University / Kunshan,1,0.1667
Application Timelines,Student / Term / Students,5,0.8333
Arts and Culture,Duke / University / Kunshan,1,1.0
Athletics & University Sports,Duke / University / Kunshan,2,0.3333
Athletics & University Sports,Student / Term / Students,1,0.1667
Athletics & University Sports,Students / Course / Skills,3,0.5
Blue Oasis Student Center,Students / Course / Skills,2,1.0
Campus Engagement,Students / Course / Skills,1,1.0
Campus Health Clinic,Student / Term / Students,2,1.0
Campus Programs,Duke / University / Kunshan,2,0.6667
Campus Programs,Students / Course / Skills,1,0.3333
Career Services,Chinese / China / Course,1,0.1667
Career Services,Duke / University / Kunshan,4,0.6667
Career Services,Student / Term / Students,1,0.1667
Changes in Status,Credit / Courses / Placement,2,0.1429
Changes in Status,Duke / University / Kunshan,3,0.2143
Changes in Status,Student / Term / Students,9,0.6429
Chinese Student Services and Student Mobility,Chinese / China / Course,1,0.5
Chinese Student Services and Student Mobility,Student / Term / Students,1,0.5
Class Attendance and Missed Work,Student / Term / Students,4,1.0
Class Scheduling,Student / Term / Students,1,1.0
Compliance with Academic Regulations,Student / Term / Students,1,1.0
Counseling and Psychological Services (CAPS),Duke / University / Kunshan,1,0.5
Counseling and Psychological Services (CAPS),Student / Term / Students,1,0.5
Course Audit,Duke / University / Kunshan,1,0.5
Course Audit,Student / Term / Students,1,0.5
Course Descriptions,Chinese / China / Course,90,0.1302
Course Descriptions,Course / Media / Cultural,148,0.2142
Course Descriptions,Credit / Courses / Placement,49,0.0709
Course Descriptions,Duke / University / Kunshan,4,0.0058
Course Descriptions,Molecular / Systems / Chemistry,95,0.1375
Course Descriptions,Political / Course / Policy,168,0.2431
Course Descriptions,Students / Course / Skills,137,0.1983
Course Repeat,Credit / Courses / Placement,3,0.4286
Course Repeat,Duke / University / Kunshan,2,0.2857
Course Repeat,Student / Term / Students,2,0.2857
Declaration of Major,Duke / University / Kunshan,2,1.0
Degree Requirements,Chinese / China / Course,2,0.05
Degree Requirements,Course / Media / Cultural,1,0.025
Degree Requirements,Credit / Courses / Placement,16,0.4
Degree Requirements,Duke / University / Kunshan,11,0.275
Degree Requirements,Students / Course / Skills,10,0.25
Dual Degrees,Duke / University / Kunshan,1,1.0
Duke Kunshan University Community Standard,Duke / University / Kunshan,1,1.0
Education Records,Duke / University / Kunshan,3,0.75
Education Records,Student / Term / Students,1,0.25
Eligibility for Courses,Credit / Courses / Placement,2,0.5
Eligibility for Courses,Duke / University / Kunshan,1,0.25
Eligibility for Courses,Student / Term / Students,1,0.25
Entrance Credit and Placement,Chinese / China / Course,2,0.1176
Entrance Credit and Placement,Credit / Courses / Placement,5,0.2941
Entrance Credit and Placement,Duke / University / Kunshan,10,0.5882
Estimated Expenses,Chinese / China / Course,2,0.1538
Estimated Expenses,Credit / Courses / Placement,3,0.2308
Estimated Expenses,Duke / University / Kunshan,1,0.0769
Estimated Expenses,Student / Term / Students,7,0.5385
Exclusion of Disruptive Students from a Course,Student / Term / Students,2,1.0
Final Examinations,Student / Term / Students,3,1.0
Grade Review Procedure,Duke / University / Kunshan,2,0.25
Grade Review Procedure,Student / Term / Students,6,0.75
Grading and Grade Requirements,Credit / Courses / Placement,11,0.4583
Grading and Grade Requirements,Duke / University / Kunshan,6,0.25
Grading and Grade Requirements,Molecular / Systems / Chemistry,1,0.0417
